"Freq [GHz]","dB(S(1,1)) [] - $Er='2.5'","dB(S(1,1)) [] - $Er='2.6'","dB(S(1,1)) [] - $Er='2.7'","dB(S(1,1)) [] - $Er='2.8'","dB(S(1,1)) [] - $Er='2.9'","dB(S(1,1)) [] - $Er='3'","dB(S(1,1)) [] - $Er='3.1'","dB(S(1,1)) [] - $Er='3.2'","dB(S(1,1)) [] - $Er='3.3'","dB(S(1,1)) [] - $Er='3.4'","dB(S(1,1)) [] - $Er='3.5'","dB(S(1,1)) [] - $Er='3.6'","dB(S(1,1)) [] - $Er='3.7'","dB(S(1,1)) [] - $Er='3.8'","dB(S(1,1)) [] - $Er='3.9'","dB(S(1,1)) [] - $Er='4'","dB(S(1,1)) [] - $Er='4.4'"
1.75,-23.1441215249624,-43.9350526389717,-36.0659121096082,-40.0041637411171,-53.7031451705849,-49.4291672220535,-34.1258069378808,-31.5304122209122,-30.3813516970104,-37.2344686060173,-36.8440554621324,-36.7075542773123,-32.0654404589678,-39.2466480059706,-34.6798740446164,-34.0271686352245,-46.9025530843128
1.76,-23.1626620554352,-44.0237869805846,-36.0120255981066,-39.7990662785666,-53.0103532697736,-49.4570298169332,-34.0683946737966,-31.6229794127353,-30.3713460849527,-36.9507348431453,-37.1270974097189,-36.3568230081492,-32.0532876736983,-39.1373147878536,-34.6352752812807,-34.2718829083683,-47.1125991469988
1.77,-23.1862463573606,-44.1209694685297,-35.9633277141271,-39.6000049549281,-52.3704433806324,-49.3992107616213,-34.0147222727219,-31.7232365788333,-30.3667566167066,-36.681353948191,-37.4302252662389,-36.0261705453995,-32.0459371484288,-39.0372554507265,-34.5981392188024,-34.53133912059,-47.3309429405628
1.78,-23.2148868676421,-44.2268296899415,-35.9197284418112,-39.406596491171,-51.7774078302273,-49.259685871828,-33.9647014515892,-31.8312615328562,-30.3675700080625,-36.4257401781148,-37.7547171484312,-35.7146575475245,-32.0433577893094,-38.9461111624329,-34.5681965235167,-34.806186598834,-47.5539028464305
1.79,-23.2486018191914,-44.3416153445466,-35.8811423943825,-39.2184889281718,-51.226145105531,-49.0468704961156,-33.9182551186865,-31.947130281458,-30.3737815893022,-36.1833693257009,-38.1020056249476,-35.4214583612498,-32.0455184822259,-38.8635732929787,-34.5451844003224,-35.097112297688,-47.7764068401719
1.8,-23.2874153639678,-44.4655951045839,-35.8474885655112,-39.0353594337269,-50.7123245652846,-48.7721772222442,-33.8753169962247,-32.0709168857625,-30.3853953121295,-35.9537700696097,-38.4736949106891,-35.1458403469134,-32.0523881715148,-38.7893887541191,-34.5288513679289,-35.4048362933219,-47.9917457572283
1.81,-23.3313577133671,-44.5990614952442,-35.8186901014791,-38.8569123302705,-50.2322619067216,-48.4483503234182,-33.835831217031,-32.2026932886728,-30.4024237384763,-35.7365164552994,-38.8715779818698,-34.887146372981,-32.0639359800918,-38.7233657494061,-34.5189629422453,-35.7301036180991,-48.1914066223984
1.82,-23.3804652962626,-44.7423338230938,-35.7946740913238,-38.6828773090741,-49.7828117699415,-48.0880098989287,-33.7997518948374,-32.3425290740661,-30.4248880080244,-35.5312213400377,-39.2976516268898,-34.6447799650035,-32.0801313685378,-38.6653800354621,-34.5153084099129,-36.0736706597482,-48.3650873115616
1.83,-23.434780935197,-44.8957611760062,-35.7753713723151,-38.5130078027805,-49.3612778472624,-47.7026420122522,-33.767042667557,-32.490491115571,-30.4528177818347,-35.3375306684886,-39.7541257204224,-34.4181927166974,-32.1009443302654,-38.6153818026358,-34.5177089394387,-36.4362835472369,-48.5010222194422
1.84,-23.4943540414319,-45.0597255121805,-35.7607163482666,-38.3470794931108,-48.9653386723014,-47.3020654424903,-33.7376762128944,-32.6466430626603,-30.4862511600423,-35.1551184716526,-40.2434199640412,-34.2068736610132,-32.1263456194894,-38.5734032874946,-34.5260273592324,-36.8186447904195,-48.5867410070313
